,Name,Online_Order,Book_Table,Rating,Votes,Location,Rest_Type,Dish_Liked,Cuisines,Approx_Cost,Type
12425,Empire Restaurant,Yes,No,4,3213,Church Street,Casual Dining,"Paneer Tikka, Chicken Popcorn, Bheja Fry, Brain Fry, Ghee Rice, Jumbo Shawarma, Biryani","North Indian, Mughlai, South Indian, Chinese",750,Delivery
12430,Karama Restaurant,Yes,Yes,4.4,2866,Frazer Town,Casual Dining,"Salads, Veg Pulao, Sea Food, Popcorn Chicken, Karachi Naan, Rabri, Butter Chicken","Arabian, North Indian, Beverages",750,NA
12433,Masala Central,Yes,No,3.7,75,Frazer Town,Quick Bites,"Sandwiches, Tea, Masala Chai, Pasta, Maggi, Sandwich, Chicken Burger",North Indian,300,Delivery
12434,Firangi Bake,Yes,No,3.9,58,Indiranagar,Delivery,Lasagne,"Mexican, Italian",600,Delivery
12436,Mama Mia!,Yes,No,4.3,423,Indiranagar,"Dessert Parlor, Cafe","Gelato, Strawberry Sundae, Hot Chocolate, Brownie, Wedges, Peri Peri Fries, Thick Shakes","Desserts, Cafe",400,Delivery
12437,Smally's Resto Cafe,Yes,Yes,4.1,1852,Ulsoor,Cafe,"Burgers, Sandwiches, Salads, Disco Chicken, Beef Steak, Wedges, Peri Chicken","Cafe, Italian, Burger, American, Steak",650,Delivery
12440,Frozen Bottle,Yes,No,3.7,19,Infantry Road,Beverage Shop,NA,"Beverages, Desserts, Ice Cream",400,Delivery
12443,Midnight Hunger Solutions 24/7,Yes,No,2.1,254,Indiranagar,Delivery,"Mutton Biryani, Chilli Paneer, Chicken Biryani","North Indian, Mughlai, Chinese",500,Delivery
12447,Shanmukha,Yes,No,3.9,143,Old Airport Road,Casual Dining,"Fish, Chicken Curry, Paneer Biryani, Baby Corn Masala","Biryani, Andhra, North Indian, Chinese",800,Delivery
12448,Domino's Pizza,Yes,No,3.7,266,Shanti Nagar,Quick Bites,"Pizza, Chicken Pocket, Garlic Bread","Pizza, Fast Food",400,Delivery
12450,Kanteen 038,Yes,No,4,51,Indiranagar,Quick Bites,"Chai, Maggi, English Breakfast","Tea, Beverages, Fast Food",200,Delivery
12451,Sandhya Veg,Yes,No,3.5,56,Brigade Road,Quick Bites,NA,"South Indian, Chinese",150,Delivery
12454,Imperial Restaurant,Yes,No,3.9,239,Indiranagar,Casual Dining,"Ghee Rice, Chicken Grill, Butter Chicken, Chicken Tikka Masala, Chicken Curry, Roti, Chicken Kebab","North Indian, Chinese, Biryani, Kebab, Juices",800,Delivery
12461,Donne Biriyani House,Yes,No,4.1,474,Indiranagar,Quick Bites,"Pepper Chicken, Chicken Biryani, Mutton Biryani",Biryani,300,Delivery
12463,Xpress Biryani,Yes,No,4.3,148,Ulsoor,Casual Dining,"Butter Chicken Biryani, Gulab Jamun, Chicken Tikka Biryani, Dal Bukhara, Hara Bhara Kebab, Mutton Keema, Masala Biryani","Biryani, North Indian, Kebab",650,Delivery
12464,Pathaan Sir,Yes,No,3.3,156,Indiranagar,Quick Bites,"Rolls, French Fries, Chicken Momo, Roti, Pulpy Grape Juice, Mutton Keema, Chicken Kebab","Fast Food, Rolls, Momos",250,Delivery
12465,XO Belgian Waffle,Yes,No,4.4,216,Brigade Road,Food Court,"Belgian Waffles, Hot Chocolate, Salted Caramel, Nutella Waffle","Desserts, Beverages",450,NA
12467,Meghana Foods,Yes,No,4.3,2139,Residency Road,Casual Dining,"Chicken Boneless Biryani, Mutton Biryani, Andhra Style Biryani, Hyderabadi Biryani, Vegetable Biryani, Paneer Biryani, Fry Prawns","Biryani, Seafood, Andhra, North Indian",600,Delivery
12468,Sweet Truth,Yes,No,3.7,21,Vasanth Nagar,Delivery,NA,"Bakery, Desserts",500,Delivery
12471,WOW! Momo,Yes,No,3.7,123,Brigade Road,"Food Court, Quick Bites","Burgers, Chocolate Momos, Noodles, Cheese Momos","Tibetan, Momos",400,Delivery
12484,New Alameen Restaurant,Yes,No,3.4,24,Ulsoor,Quick Bites,NA,"Kerala, North Indian, Chinese",300,Delivery
12485,The Bundle Co.,Yes,No,4.4,223,MG Road,Quick Bites,"Burgers, Salad, Mocktails, Pasta Arrabiata, Fries, Nutella Cheesecake, Teriyaki Chicken Wings","Burger, Continental, Italian, Beverages",700,NA
12487,Leon Grill,Yes,No,4.3,285,St. Marks Road,Quick Bites,"Burgers, Fries, Peri Peri Chicken, Nachos, Wings, Rolls, Tandoori Burger","Burger, Turkish, Arabian, Fast Food, Salad, Healthy Food, Desserts",500,Delivery
12488,Belgian Waffle Factory,Yes,No,4.9,1744,Brigade Road,Dessert Parlor,"Coffee, Berryblast, Nachos, Chocolate Waffles, Nutella Waffle, Chocolate Overload, Sandwiches",Desserts,400,NA
12490,Rahhams,Yes,No,3.9,850,Frazer Town,Casual Dining,"Mutton Biryani, Shawarma, Bheja Fry, Pahari Chicken, Butter Chicken, Mutton Chops, Butter Naan","Mughlai, North Indian, Chinese",700,Delivery
12491,Shahi Family Restaurant,Yes,No,3.3,73,Ulsoor,Quick Bites,NA,"North Indian, Chinese, South Indian",350,Delivery
12492,Punjabi Dhaba,Yes,No,3.4,352,Ejipura,Quick Bites,"Butter Chicken, Paratha","North Indian, Chinese",350,Delivery
12494,Tadkawala,Yes,No,3.5,70,Vasanth Nagar,"Takeaway, Delivery",Veg Thali,North Indian,200,Delivery
12496,McDonald's,Yes,No,3.8,106,Ulsoor,Quick Bites,"Burgers, Wedges, Mcspicy Chicken Burger, French Fries, Mc Chicken","Burger, Fast Food",500,Delivery
12500,Mandarin Box,No,No,4,79,Church Street,Quick Bites,"Momos, Noodles, Chop Suey",Chinese,500,Delivery
12502,Corner House Ice Cream,Yes,No,4.4,635,Residency Road,Dessert Parlor,"Hot Chocolate Fudge, Chocolate Mousse, Ice Cream Strawberry, Vanilla Ice Cream, Thick Shakes, Fruit Salad, Fudge Cake","Ice Cream, Desserts",400,Delivery
12506,Somilan Steak House,No,No,4.3,527,Church Street,Casual Dining,"Salads, Beef Steak, Pork Chops, Crispy Pork, Wine, Chicken Salad, Pork Ribs","North Eastern, Asian, Naga, Steak, Momos",800,Delivery
12507,IceBreakers,No,No,4.3,182,Church Street,Dessert Parlor,"Waffles, Ice Cream Roll, Brownie Fudge, Chocolate Icecreams","Desserts, Ice Cream",400,Delivery
12508,New Taj,Yes,No,3.3,110,Ulsoor,Quick Bites,NA,"North Indian, Chinese",300,Delivery
12511,Chickpet Donne Biryani House,Yes,No,3.7,45,Commercial Street,Quick Bites,NA,Biryani,250,Delivery
12522,Glen's Bakehouse,Yes,No,4.4,1093,Lavelle Road,"Bakery, Cafe","Pizza, Coffee, Pasta, Tiramisu, Cheesecake, Hot Chocolate, Pie","Bakery, Cafe, Italian, Desserts",600,Delivery
12525,Savoury Restaurant,Yes,No,4.1,1445,Frazer Town,Casual Dining,"Biryani, Haleem, Jumbo Shawarma, Kerala Parotta, Barbeque Chicken, Mutton Raan Biriyani, Dum Aloo","Arabian, North Indian, Chinese, Beverages",800,Delivery
12526,Kabab Magic,Yes,No,3.9,74,Richmond Road,Quick Bites,NA,"North Indian, Kebab, Fast Food",500,Delivery
12530,Lassi Shop,No,No,3.9,32,Church Street,Beverage Shop,Lassi,"Beverages, Ice Cream",200,Delivery
12536,Chinese Corner,Yes,No,0,0,Church Street,Quick Bites,NA,Chinese,200,Delivery
12540,Pizza Hut,Yes,No,3.8,235,Shanti Nagar,Casual Dining,"Garlic Bread, Paneer Pizza, Supreme Pizza, Tandoori Paneer","Pizza, Fast Food",750,Delivery
12543,Amritsari Kulcha Bite,Yes,No,3.9,104,Ulsoor,Quick Bites,"Lassi, Amritsari Kulcha, Chole",North Indian,150,Delivery
